縣市,鄉鎮市區,縣市代碼,家戶數,1-2月用電總量,1-2月平均家戶用電,3-4月用電總量,3-4月平均家戶用電,5-6月用電總量,5-6月平均家戶用電,7-8月用電總量,7-8月平均家戶用電
高雄市,燕巢區,KHH-210,10219,7358615,720,7070533,691,7975147,780,10020209,980
高雄市,田寮區,KHH-220,3475,1347524,387,1335628,384,1452089,417,1773716,510
高雄市,阿蓮區,KHH-230,9323,6052367,649,6243700,669,6682186,716,8913747,956
高雄市,路竹區,KHH-240,16368,11247956,687,11790770,720,12565637,767,16802120,1026
高雄市,湖內區,KHH-250,10053,7731397,769,7320351,728,8534786,848,10967887,1091
高雄市,茄萣區,KHH-260,10302,6299556,611,6609665,641,7467273,724,9908315,961
高雄市,永安區,KHH-270,5828,2276544,390,2374096,407,2392795,410,3240000,555
高雄市,彌陀區,KHH-280,6692,3880013,579,3786513,565,3967053,592,5627596,840
高雄市,梓官區,KHH-290,12315,7460687,605,8039997,652,9186999,746,12364066,1003
高雄市,旗山區,KHH-300,13903,8367385,601,8840377,635,9884983,710,11767609,846
高雄市,美濃區,KHH-310,14408,7164104,497,7819915,542,8220429,570,9998328,693
高雄市,六龜區,KHH-320,5712,2068412,362,2211108,387,2260701,395,2488190,435
高雄市,甲仙區,KHH-330,2389,929996,389,984023,411,1039562,435,1181544,494
高雄市,杉林區,KHH-340,4829,1964740,406,2147398,444,2255144,467,2572248,532
高雄市,內門區,KHH-350,5061,2313989,457,2289891,452,2595313,512,2947531,582
高雄市,茂林區,KHH-360,577,261359,452,282542,489,275334,477,295651,512
高雄市,桃源區,KHH-370,1347,442142,328,466221,346,459681,341,495057,367
高雄市,那瑪夏區,KHH-380,875,255222,291,271353,310,273147,312,266923,305
宜蘭縣,宜蘭市,ILA-010,34556,24184391,699,24310498,703,25443694,736,35576975,1029
宜蘭縣,羅東鎮,ILA-020,25491,17144044,672,17657673,692,17736775,695,24791491,972
宜蘭縣,蘇澳鎮,ILA-030,13811,7927330,573,7857535,568,8279124,599,11568917,837
宜蘭縣,頭城鎮,ILA-040,9955,7455743,748,7070606,710,7787225,782,10686577,1073
宜蘭縣,礁溪鄉,ILA-050,12948,9204252,710,9206908,711,9676660,747,13541782,1045
