縣市,鄉鎮市區,縣市代碼,家戶數,1-2月用電總量,1-2月平均家戶用電,3-4月用電總量,3-4月平均家戶用電,5-6月用電總量,5-6月平均家戶用電,7-8月用電總量,7-8月平均家戶用電,9-10月用電總量,9-10月平均家戶用電,11-12月用電總量,11-12月平均家戶用電
嘉義縣,梅山鄉,CYQ-150,6773,2654436,391,2925663,431,2880413,425,3268293,482,3518673,519,3158210,466
嘉義縣,番路鄉,CYQ-160,4273,1582753,370,1703479,398,1733213,405,1957158,458,2057039,481,1859145,435
嘉義縣,大埔鄉,CYQ-170,1931,370812,192,347819,180,359434,186,441118,228,450366,233,402945,208
嘉義縣,阿里山鄉,CYQ-180,1926,886056,460,948338,492,907605,471,854005,443,853120,442,866027,449
屏東縣,屏東市,PIF-010,72904,48312916,662,48427121,664,55664712,763,69620816,954,71550984,981,59394811,814
屏東縣,潮州鎮,PIF-020,18689,12434298,665,13216421,707,14328377,766,18232753,975,18851731,1008,15983695,855
屏東縣,東港鎮,PIF-030,16074,9392298,584,9861028,613,10671189,663,13836097,860,14891369,926,12726157,791
屏東縣,恆春鎮,PIF-040,11070,5628719,508,6001641,542,6558325,592,8651530,781,9320232,841,7355445,664
屏東縣,萬丹鄉,PIF-050,14569,8945139,613,8666021,594,10501391,720,12259278,841,12595973,864,10126112,695
屏東縣,長治鄉,PIF-060,9895,5741606,580,5892545,595,6415163,648,7931176,801,8031168,811,6923626,699
屏東縣,麟洛鄉,PIF-070,3653,5207,1,5387,1,5934,1,8029,2,9077,2,7315,2
屏東縣,九如鄉,PIF-080,6709,3216781,479,3226424,480,3480304,518,4400995,655,4469407,666,3943581,587
屏東縣,里港鄉,PIF-090,8007,4259545,531,4064939,507,4820603,602,5572485,695,5719667,714,4656869,581
屏東縣,鹽埔鄉,PIF-100,7805,3736504,478,4032609,516,4503342,576,5347399,685,5359501,686,4622161,592
屏東縣,高樹鄉,PIF-110,9447,3080617,326,3332352,352,3585800,379,4186832,443,4332835,458,3778653,399
屏東縣,萬巒鄉,PIF-120,6462,3151972,487,3320124,513,3571683,552,4306873,666,4340297,671,3700036,572
屏東縣,內埔鄉,PIF-130,18213,10805354,593,10418904,572,11793710,647,14708873,807,14135468,776,12665430,695
屏東縣,竹田鄉,PIF-140,5632,2942160,522,3102529,550,3430357,609,4039710,717,4104584,728,3400675,603
屏東縣,新埤鄉,PIF-150,3397,1523992,448,1631073,480,1725203,507,2113202,622,2168715,638,1910642,562
屏東縣,枋寮鄉,PIF-160,8559,4616288,539,4704560,549,5208179,608,6415569,749,6530995,763,5663959,661
屏東縣,新園鄉,PIF-170,11666,5879764,504,5895496,505,6672410,571,8281381,709,8631009,739,7177018,615
屏東縣,崁頂鄉,PIF-180,4370,1517876,347,1560611,357,1634573,374,2149445,491,2216455,507,1900915,434
屏東縣,林邊鄉,PIF-190,7100,2875280,404,2968433,418,3145228,442,4185369,589,4453319,627,3837099,540
屏東縣,南州鄉,PIF-200,3660,1412074,385,1325195,362,1721822,470,1828252,499,1885091,515,1460122,398
屏東縣,佳冬鄉,PIF-210,7126,2260217,317,2158341,302,2607531,365,2974838,417,3019865,423,2425855,340
屏東縣,琉球鄉,PIF-220,4067,1696774,417,1712527,421,1919652,472,2406765,591,2758460,678,2234317,549
屏東縣,車城鄉,PIF-230,3481,1183462,339,1172784,336,1309344,376,1633435,469,1699600,488,1325544,380
屏東縣,滿州鄉,PIF-240,3050,872487,286,903998,296,938598,307,1069415,350,1139191,373,1017791,333
屏東縣,枋山鄉,PIF-250,2123,763428,359,748428,352,856405,403,1099584,517,1085918,511,926980,436
屏東縣,三地門鄉,PIF-260,2233,800767,358,796176,356,837271,374,942087,421,957325,428,880536,394
屏東縣,霧臺鄉,PIF-270,1032,0,0,0,0,0,0,23369,22,25136,24,24081,23
屏東縣,瑪家鄉,PIF-280,1953,705058,361,684992,350,720713,369,804669,412,808013,413,744603,381
屏東縣,泰武鄉,PIF-290,1244,591197,475,589529,473,599996,482,668556,537,678228,545,618644,497
屏東縣,來義鄉,PIF-300,2218,860002,387,886235,399,906323,408,1021964,460,1015265,457,943610,425
屏東縣,春日鄉,PIF-310,1327,565843,426,579029,436,612287,461,705175,531,735650,554,664221,500
屏東縣,獅子鄉,PIF-320,1501,620560,413,622977,415,645319,429,731168,487,751437,500,696561,464
屏東縣,牡丹鄉,PIF-330,1889,610140,322,601553,318,655199,346,655644,347,678892,359,588860,311
臺東縣,臺東市,TTT-010,38498,23113947,600,23684381,615,25063256,651,31349353,814,33549770,871,25951206,674
臺東縣,成功鎮,TTT-020,5423,2307066,425,2521353,464,2577335,475,3241425,597,3406743,628,2708244,499
臺東縣,關山鎮,TTT-030,3267,1611654,493,1729120,529,1687981,516,2030295,621,2212834,677,1780494,544
臺東縣,卑南鄉,TTT-040,6617,3051324,461,3033861,458,3262606,493,3959020,598,4246436,641,3356966,507
臺東縣,鹿野鄉,TTT-050,3139,1239828,394,1239292,394,1272648,405,1540189,490,1690335,538,1350490,430
臺東縣,池上鄉,TTT-060,3282,1449691,441,1609278,490,1562354,476,1757344,535,2020916,615,1700006,517
臺東縣,東河鄉,TTT-070,3734,974501,260,947534,253,1031785,276,1204296,322,1270207,340,1058494,283
臺東縣,長濱鄉,TTT-080,2918,886155,303,969994,332,1004089,344,1118478,383,1262741,432,1040379,356
臺東縣,太麻里鄉,TTT-090,4581,943224,205,947484,206,1017438,222,1215355,265,1291604,281,1045788,228
臺東縣,大武鄉,TTT-100,2515,162743,64,153113,60,173343,68,203877,81,211224,83,171485,68
臺東縣,綠島鄉,TTT-110,1061,450877,424,467601,440,606274,571,854010,804,834835,786,561002,528
臺東縣,海端鄉,TTT-120,1095,447276,408,471068,430,466017,425,530806,484,556854,508,494116,451
臺東縣,延平鄉,TTT-130,1066,422466,396,384398,360,420689,394,457129,428,476879,447,411713,386
臺東縣,金峰鄉,TTT-140,1088,359422,330,355998,327,392351,360,444710,408,473988,435,394916,362
臺東縣,達仁鄉,TTT-150,1488,192008,129,187964,126,205752,138,235479,158,244359,164,203648,136
臺東縣,蘭嶼鄉,TTT-160,1642,914299,556,940427,572,1108411,675,1536703,935,1690853,1029,1253493,763
花蓮縣,花蓮市,HUA-010,41026,25099593,611,25543516,622,27036847,659,35331324,861,39059482,952,28341983,690
花蓮縣,鳳林鎮,HUA-020,4417,2243649,507,2271916,514,2331179,527,2966864,671,3218438,728,2402150,543
花蓮縣,玉里鎮,HUA-030,8933,5105165,571,4981266,557,5222208,584,6564996,734,6937982,776,5334225,597
花蓮縣,新城鄉,HUA-040,7407,4165284,562,4486784,605,4576208,617,5974161,806,6981018,942,5155489,696
花蓮縣,吉安鄉,HUA-050,30208,19344096,640,19204175,635,20201753,668,26207609,867,26907501,890,19761042,654
花蓮縣,壽豐鄉,HUA-060,6877,4343884,631,4310379,626,5358470,779,5782629,840,5920862,860,4881928,709
花蓮縣,光復鄉,HUA-070,5023,1832641,364,1781661,354,1921984,382,2362780,470,2490217,495,1896453,377
花蓮縣,豐濱鄉,HUA-080,1761,669857,380,644573,366,738455,419,872454,495,884792,502,684588,388
花蓮縣,瑞穗鄉,HUA-090,4670,1664361,356,1600171,342,1820429,389,2193585,469,2199120,470,1686750,361
花蓮縣,富里鄉,HUA-100,4026,1925131,478,1995428,495,2011844,499,2378581,590,2652155,658,2161369,536
花蓮縣,秀林鄉,HUA-110,4703,1862067,395,2105811,447,2007132,426,2427981,516,2675734,568,2144529,455
花蓮縣,萬榮鄉,HUA-120,2091,757742,362,731080,349,781856,373,923430,441,967133,462,783119,374
花蓮縣,卓溪鄉,HUA-130,1662,573705,345,582132,350,604612,363,694194,417,725968,436,590021,355
澎湖縣,馬公市,PEN-010,21874,12503016,571,13864897,633,13286789,607,17401001,795,20448395,934,14975405,684
澎湖縣,湖西鄉,PEN-020,5055,1983512,392,1961570,388,2081848,411,2644910,523,2704287,534,1994192,394
澎湖縣,白沙鄉,PEN-030,3224,887279,275,822718,255,1009983,313,1238567,384,1221439,378,856031,265
澎湖縣,西嶼鄉,PEN-040,2906,1050175,361,1264331,435,1270927,437,1593464,548,1781342,612,1267713,436
