縣市,鄉鎮市區,縣市代碼,用電量,家戶數,家戶用電量
嘉義縣,中埔鄉,CYQ-130,11567592,15782,732
嘉義縣,竹崎鄉,CYQ-140,7598572,11538,658
嘉義縣,梅山鄉,CYQ-150,4428354,6773,653
嘉義縣,番路鄉,CYQ-160,2571176,4273,601
嘉義縣,大埔鄉,CYQ-170,639814,1931,331
嘉義縣,阿里山鄉,CYQ-180,1394741,1926,724
屏東縣,屏東市,PIF-010,66297043,72904,909
屏東縣,潮州鎮,PIF-020,17190847,18689,919
屏東縣,東港鎮,PIF-030,14796138,16074,920
屏東縣,恆春鎮,PIF-040,9050466,11070,817
屏東縣,萬丹鄉,PIF-050,15906111,14569,1091
屏東縣,長治鄉,PIF-060,7900686,9895,798
屏東縣,麟洛鄉,PIF-070,3055257,3653,836
屏東縣,九如鄉,PIF-080,6258023,6709,932
屏東縣,里港鄉,PIF-090,6931127,8007,865
屏東縣,鹽埔鄉,PIF-100,5682477,7805,728
屏東縣,高樹鄉,PIF-110,4739042,9447,501
屏東縣,萬巒鄉,PIF-120,4533896,6462,701
屏東縣,內埔鄉,PIF-130,16425835,18213,901
屏東縣,竹田鄉,PIF-140,4472354,5632,794
屏東縣,新埤鄉,PIF-150,2288177,3397,673
屏東縣,枋寮鄉,PIF-160,6724949,8559,785
屏東縣,新園鄉,PIF-170,9070003,11666,777
屏東縣,崁頂鄉,PIF-180,3160991,4370,723
屏東縣,林邊鄉,PIF-190,4016188,7100,565
屏東縣,南州鄉,PIF-200,2717675,3660,742
屏東縣,佳冬鄉,PIF-210,4411143,7126,619
屏東縣,琉球鄉,PIF-220,2801709,4067,688
屏東縣,車城鄉,PIF-230,2579792,3481,741
屏東縣,滿州鄉,PIF-240,1240942,3050,406
屏東縣,枋山鄉,PIF-250,1698871,2123,800
屏東縣,三地門鄉,PIF-260,1037179,2233,464
屏東縣,霧臺鄉,PIF-270,29548,1032,28
屏東縣,瑪家鄉,PIF-280,1023805,1953,524
屏東縣,泰武鄉,PIF-290,925242,1244,743
屏東縣,來義鄉,PIF-300,1373922,2218,619
屏東縣,春日鄉,PIF-310,870649,1327,656
屏東縣,獅子鄉,PIF-320,1003722,1501,668
屏東縣,牡丹鄉,PIF-330,986855,1889,522
臺東縣,臺東市,TTT-010,32975098,38498,856
臺東縣,成功鎮,TTT-020,3144296,5423,579
臺東縣,關山鎮,TTT-030,2151942,3267,658
臺東縣,卑南鄉,TTT-040,4276372,6617,646
臺東縣,鹿野鄉,TTT-050,1857494,3139,591
臺東縣,池上鄉,TTT-060,1979315,3282,603
